secondarykey,Index Value
2001.0,1729134
2001.0,1728684
2001.0,1730480
2001.0,1730528
2001.0,1730587
2001.0,1731838
2001.0,1731896
2001.0,1731938
2001.0,1731989
2001.0,1732035
2001.0,1732081
2001.0,1732128
2001.0,1732183
2001.0,1732234
2001.0,1731792
2001.0,1732283
2001.0,1732383
2001.0,1732431
2001.0,1732476
2001.0,1732534
2001.0,1732587
2001.0,1732630
2001.0,1732673
2001.0,1732721
2001.0,1732770
2001.0,1732332
2001.0,1731747
2001.0,1731698
2001.0,1731649
2001.0,1730629
2001.0,1730672
2001.0,1730731
2001.0,1730780
2001.0,1730839
2001.0,1730888
2001.0,1730932
2001.0,1730981
2001.0,1731026
2001.0,1731079
2001.0,1731123
2001.0,1731170
2001.0,1731222
2001.0,1731266
2001.0,1731310
2001.0,1731355
2001.0,1731401
2001.0,1731444
2001.0,1731496
2001.0,1731553
2001.0,1731605
2001.0,1728127
2001.0,1728072
2001.0,1728023
2001.0,1727964
2001.0,1724615
2001.0,1724662
2001.0,1724710
2001.0,1724764
2001.0,1724810
2001.0,1724853
2001.0,1724896
2001.0,1724938
2001.0,1724987
2001.0,1724563
2001.0,1725039
2001.0,1725138
2001.0,1725202
2001.0,1725266
2001.0,1725312
2001.0,1725360
2001.0,1725423
2001.0,1725471
2001.0,1725519
2001.0,1725574
2001.0,1725094
2001.0,1724515
2001.0,1724468
2001.0,1724421
2001.0,1723282
2001.0,1723325
2001.0,1723389
2001.0,1723441
2001.0,1723507
2001.0,1723566
2001.0,1723630
2001.0,1723678
2001.0,1723739
2001.0,1723797
2001.0,1723863
2001.0,1723911
2001.0,1723964
2001.0,1724013
2001.0,1724056
2001.0,1724112
2001.0,1724167
2001.0,1724214
2001.0,1724263
2001.0,1724318
2001.0,1724360
2001.0,1725616
2001.0,1732829
2001.0,1725664
2001.0,1725755
2001.0,1727023
2001.0,1727071
2001.0,1727113
2001.0,1727157
2001.0,1727199
2001.0,1727243
2001.0,1727295
2001.0,1727337
2001.0,1727389
2001.0,1726964
2001.0,1727437
2001.0,1727534
2001.0,1727581
2001.0,1727628
2001.0,1727676
2001.0,1727718
2001.0,1727783
2001.0,1727825
2001.0,1727874
2001.0,1727916
2001.0,1727479
2001.0,1726902
2001.0,1726854
2001.0,1726812
2001.0,1725798
2001.0,1725846
2001.0,1725888
2001.0,1725931
2001.0,1725973
2001.0,1726031
2001.0,1726079
2001.0,1726127
2001.0,1726175
2001.0,1726238
2001.0,1726280
2001.0,1726324
2001.0,1726366
2001.0,1726412
2001.0,1726456
2001.0,1726507
2001.0,1726555
2001.0,1726599
2001.0,1726643
2001.0,1726701
2001.0,1726766
2001.0,1725706
2001.0,1723240
2001.0,1732877
2001.0,1732988
2001.0,1739024
2001.0,1739082
2001.0,1739127
2001.0,1739170
2001.0,1739216
2001.0,1739272
2001.0,1739321
2001.0,1739364
2001.0,1739412
2001.0,1738981
2001.0,1739454
2001.0,1739565
2001.0,1739614
2001.0,1739670
2001.0,1739728
2001.0,1739836
2001.0,1739879
2001.0,1739942
2001.0,1739985
2001.0,1740028
2001.0,1739519
2001.0,1740090
2001.0,1738938
2001.0,1738825
2001.0,1737914
2001.0,1737957
2001.0,1738000
2001.0,1738048
2001.0,1738090
2001.0,1738138
2001.0,1738181
2001.0,1738224
2001.0,1738271
2001.0,1738873
2001.0,1738319
2001.0,1738410
2001.0,1738458
2001.0,1738506
2001.0,1738549
2001.0,1738593
2001.0,1738641
2001.0,1738683
2001.0,1738731
2001.0,1738779
2001.0,1738361
2001.0,1740138
2001.0,1740184
2001.0,1740249
2001.0,1741476
2001.0,1741518
2001.0,1741561
2001.0,1741609
2001.0,1741652
2001.0,1741709
2001.0,1741751
2001.0,1741810
2001.0,1741858
2001.0,1741434
2001.0,1741904
2001.0,1741991
2001.0,1742039
2001.0,1742081
2001.0,1742123
2001.0,1742188
2001.0,1742251
2001.0,1742293
2001.0,1742341
2001.0,1742408
2001.0,1741949
2001.0,1741391
2001.0,1741346
2001.0,1741299
2001.0,1740297
2001.0,1740345
2001.0,1740391
2001.0,1740434
2001.0,1740477
2001.0,1740519
2001.0,1740568
2001.0,1740621
2001.0,1740669
2001.0,1740717
2001.0,1740772
2001.0,1740815
2001.0,1740862
2001.0,1740905
2001.0,1740953
2001.0,1741002
2001.0,1741045
2001.0,1741087
2001.0,1741134
2001.0,1741190
2001.0,1741233
2001.0,1737867
2001.0,1737819
2001.0,1737764
2001.0,1737700
2001.0,1734256
2001.0,1734323
2001.0,1734372
2001.0,1734421
2001.0,1734470
2001.0,1734526
2001.0,1734575
2001.0,1734619
2001.0,1734664
2001.0,1734207
2001.0,1734713
2001.0,1734820
2001.0,1734863
2001.0,1734911
2001.0,1734956
2001.0,1735002
2001.0,1735058
2001.0,1735111
2001.0,1735154
2001.0,1735197
2001.0,1734777
2001.0,1734158
2001.0,1734110
2001.0,1734048
2001.0,1733037
2001.0,1733096
2001.0,1733144
2001.0,1733187
2001.0,1733239
2001.0,1733282
2001.0,1733331
2001.0,1733389
2001.0,1733434
2001.0,1733483
2001.0,1733528
2001.0,1733574
2001.0,1733630
2001.0,1733675
2001.0,1733724
2001.0,1733769
2001.0,1733818
2001.0,1733862
2001.0,1733906
2001.0,1733950
2001.0,1734005
2001.0,1735243
2001.0,1732936
2001.0,1735285
2001.0,1735398
2001.0,1736681
2001.0,1736747
2001.0,1736795
2001.0,1736840
2001.0,1736900
2001.0,1736949
2001.0,1737014
2001.0,1737069
2001.0,1737112
2001.0,1736622
2001.0,1737161
2001.0,1737259
2001.0,1737307
2001.0,1737365
2001.0,1737408
2001.0,1737451
2001.0,1737499
2001.0,1737542
2001.0,1737606
2001.0,1737652
2001.0,1737217
2001.0,1736575
2001.0,1736533
2001.0,1736485
2001.0,1735465
2001.0,1735513
2001.0,1735555
2001.0,1735611
2001.0,1735653
2001.0,1735704
2001.0,1735746
2001.0,1735789
2001.0,1735841
2001.0,1735885
2001.0,1735944
2001.0,1735986
2001.0,1736049
2001.0,1736102
2001.0,1736145
2001.0,1736201
2001.0,1736250
2001.0,1736293
2001.0,1736335
2001.0,1736396
2001.0,1736441
2001.0,1735345
2001.0,1723196
2001.0,1723136
2001.0,1723090
2001.0,1709890
2001.0,1709932
2001.0,1709978
2001.0,1710024
2001.0,1710072
2001.0,1710119
2001.0,1710166
2001.0,1710212
2001.0,1710271
2001.0,1709847
2001.0,1710334
2001.0,1710423
2001.0,1710465
2001.0,1710514
2001.0,1710556
2001.0,1710611
2001.0,1710654
2001.0,1710708
2001.0,1710754
2001.0,1710811
2001.0,1710380
2001.0,1710861
2001.0,1709795
2001.0,1709678
2001.0,1708738
2001.0,1708781
2001.0,1708827
2001.0,1708870
2001.0,1708926
2001.0,1708974
2001.0,1709020
2001.0,1709066
2001.0,1709109
2001.0,1709733
2001.0,1709151
2001.0,1709270
2001.0,1709314
2001.0,1709357
2001.0,1709410
2001.0,1709456
2001.0,1709502
2001.0,1709545
2001.0,1709593
2001.0,1709635
2001.0,1709205
2001.0,1710907
2001.0,1710960
2001.0,1711008
2001.0,1712300
2001.0,1712343
2001.0,1712398
2001.0,1712441
2001.0,1712494
2001.0,1712537
2001.0,1712586
2001.0,1712652
2001.0,1712694
2001.0,1712258
2001.0,1712748
2001.0,1712834
2001.0,1712889
2001.0,1712941
2001.0,1712990
2001.0,1713033
2001.0,1713076
2001.0,1713131
2001.0,1713194
2001.0,1713237
2001.0,1712791
2001.0,1712204
2001.0,1712145
2001.0,1712093
2001.0,1711057
2001.0,1711105
2001.0,1711152
2001.0,1711197
2001.0,1711250
2001.0,1711299
2001.0,1711348
2001.0,1711391
2001.0,1711434
2001.0,1711500
2001.0,1711559
2001.0,1711605
2001.0,1711650
2001.0,1711699
2001.0,1711748
2001.0,1711795
2001.0,1711840
2001.0,1711886
2001.0,1711938
2001.0,1712004
2001.0,1712046
2001.0,1708695
2001.0,1708652
2001.0,1708588
2001.0,1708543
2001.0,1705068
2001.0,1705111
2001.0,1705153
2001.0,1705202
2001.0,1705257
2001.0,1705372
2001.0,1705428
2001.0,1705470
2001.0,1705525
2001.0,1705020
2001.0,1705590
2001.0,1705681
2001.0,1705730
2001.0,1705778
2001.0,1705820
2001.0,1705867
2001.0,1705909
2001.0,1705957
2001.0,1706005
2001.0,1706052
2001.0,1705633
2001.0,1704972
2001.0,1704928
2001.0,1704866
2001.0,1703855
2001.0,1703906
2001.0,1703954
2001.0,1704002
2001.0,1704058
2001.0,1704104
2001.0,1704153
2001.0,1704197
2001.0,1704240
2001.0,1704306
2001.0,1704349
2001.0,1704392
2001.0,1704440
2001.0,1704488
2001.0,1704536
2001.0,1704581
2001.0,1704627
2001.0,1704676
2001.0,1704725
2001.0,1704774
2001.0,1704820
2001.0,1706096
2001.0,1713283
2001.0,1706145
2001.0,1706233
2001.0,1707512
2001.0,1707554
2001.0,1707610
2001.0,1707652
2001.0,1707703
2001.0,1707752
2001.0,1707801
2001.0,1707865
2001.0,1707913
2001.0,1707457
2001.0,1707970
2001.0,1708088
2001.0,1708140
2001.0,1708182
2001.0,1708243
2001.0,1708286
2001.0,1708330
2001.0,1708389
2001.0,1708453
2001.0,1708496
2001.0,1708034
2001.0,1707414
2001.0,1707368
2001.0,1707324
2001.0,1706290
2001.0,1706334
2001.0,1706391
2001.0,1706437
2001.0,1706488
2001.0,1706539
2001.0,1706594
2001.0,1706636
2001.0,1706685
2001.0,1706727
2001.0,1706770
2001.0,1706821
2001.0,1706884
2001.0,1706944
2001.0,1706998
2001.0,1707043
2001.0,1707086
2001.0,1707144
2001.0,1707190
2001.0,1707233
2001.0,1707281
2001.0,1706190
2001.0,1713342
2001.0,1713387
2001.0,1713430
2001.0,1719568
2001.0,1719616
2001.0,1719664
2001.0,1719724
2001.0,1719770
2001.0,1719812
2001.0,1719861
2001.0,1719904
2001.0,1719958
2001.0,1719526
2001.0,1720003
2001.0,1720092
2001.0,1720149
2001.0,1720195
2001.0,1720258
2001.0,1720305
2001.0,1720361
2001.0,1720406
2001.0,1720448
2001.0,1720496
2001.0,1720045
2001.0,1719479
2001.0,1719412
2001.0,1719366
2001.0,1718319
2001.0,1718362
2001.0,1718404
2001.0,1718470
2001.0,1718516
2001.0,1718582
2001.0,1718626
2001.0,1718668
2001.0,1718715
2001.0,1718766
2001.0,1718808
2001.0,1718856
2001.0,1718903
2001.0,1718949
2001.0,1719013
2001.0,1719077
2001.0,1719121
2001.0,1719169
2001.0,1719216
2001.0,1719281
2001.0,1719323
2001.0,1720545
2001.0,1718267
2001.0,1720611
2001.0,1720700
2001.0,1722041
2001.0,1722097
2001.0,1722153
2001.0,1722201
2001.0,1722265
2001.0,1722319
2001.0,1722383
2001.0,1722427
2001.0,1722489
2001.0,1721993
2001.0,1722538
2001.0,1722630
2001.0,1722685
2001.0,1722739
2001.0,1722781
2001.0,1722823
2001.0,1722879
2001.0,1722937
2001.0,1722983
2001.0,1723042
2001.0,1722586
2001.0,1721948
2001.0,1721884
2001.0,1721835
2001.0,1720764
2001.0,1720811
2001.0,1720854
2001.0,1720897
2001.0,1720951
2001.0,1720993
2001.0,1721058
2001.0,1721104
2001.0,1721169
2001.0,1721226
2001.0,1721269
2001.0,1721321
2001.0,1721364
2001.0,1721406
2001.0,1721449
2001.0,1721493
2001.0,1721557
2001.0,1721614
2001.0,1721657
2001.0,1721722
2001.0,1721775
2001.0,1720655
2001.0,1665140
2001.0,1718204
2001.0,1718107
2001.0,1714715
2001.0,1714759
2001.0,1714801
2001.0,1714847
2001.0,1714889
2001.0,1714948
2001.0,1715000
2001.0,1715044
2001.0,1715086
2001.0,1714673
2001.0,1715134
2001.0,1715235
2001.0,1715277
2001.0,1715343
2001.0,1715385
2001.0,1715433
2001.0,1715476
2001.0,1715518
2001.0,1715564
2001.0,1715608
2001.0,1715177
2001.0,1714624
2001.0,1714582
2001.0,1714540
2001.0,1713479
2001.0,1713530
2001.0,1713579
2001.0,1713625
2001.0,1713676
2001.0,1713742
2001.0,1713790
2001.0,1713838
2001.0,1713902
2001.0,1713950
2001.0,1714001
2001.0,1714065
2001.0,1714113
2001.0,1714161
2001.0,1714226
2001.0,1714274
2001.0,1714316
2001.0,1714359
2001.0,1714406
2001.0,1714451
2001.0,1714494
2001.0,1715667
2001.0,1718162
2001.0,1715711
2001.0,1715820
2001.0,1717107
2001.0,1717155
2001.0,1717221
2001.0,1717269
2001.0,1717318
2001.0,1717365
2001.0,1717419
2001.0,1717461
2001.0,1717507
2001.0,1717059
2001.0,1717566
2001.0,1717662
2001.0,1717720
2001.0,1717769
2001.0,1717816
2001.0,1717864
2001.0,1717906
2001.0,1717959
2001.0,1718002
2001.0,1718048
2001.0,1717615
2001.0,1717012
2001.0,1716967
2001.0,1716903
2001.0,1715876
2001.0,1715941
2001.0,1715999
2001.0,1716066
2001.0,1716115
2001.0,1716163
2001.0,1716212
2001.0,1716259
2001.0,1716303
2001.0,1716346
2001.0,1716393
2001.0,1716435
2001.0,1716479
